species,bill_length_mm,flipper_length_mm
Chinstrap,54.2,201
Chinstrap,42.5,187
Chinstrap,51,203
Chinstrap,49.7,195
Chinstrap,47.5,199
Chinstrap,47.6,195
Chinstrap,52,210
Chinstrap,46.9,192
Chinstrap,53.5,205
Chinstrap,49,210
Chinstrap,46.2,187
Chinstrap,50.9,196
Chinstrap,45.5,196
Chinstrap,50.9,196
Chinstrap,50.8,201
Chinstrap,50.1,190
Chinstrap,49,212
Chinstrap,51.5,187
Chinstrap,49.8,198
Chinstrap,48.1,199
Chinstrap,51.4,201
Chinstrap,45.7,193
Chinstrap,50.7,203
Chinstrap,42.5,187
Chinstrap,52.2,197
Chinstrap,45.2,191
Chinstrap,49.3,203
Chinstrap,50.2,202
Chinstrap,45.6,194
Chinstrap,51.9,206
Chinstrap,46.8,189
Chinstrap,45.7,195
Chinstrap,55.8,207
Chinstrap,43.5,202
Chinstrap,49.6,193
Chinstrap,50.8,210
Chinstrap,50.2,198
