species,bill_depth_mm,flipper_length_mm
Adelie,17,181
Adelie,19,197
Adelie,16.5,198
Adelie,20.3,191
Adelie,17.7,193
Adelie,19.5,197
Adelie,20.7,191
Adelie,18.3,196
Adelie,17,188
Adelie,20.5,199
Adelie,17,189
Adelie,18.6,189
Adelie,17.2,187
Adelie,19.8,198
Adelie,17,176
Adelie,18.5,202
Adelie,15.9,186
Adelie,19,199
Adelie,17.6,191
Adelie,18.3,195
Adelie,17.1,191
Adelie,18,210
Adelie,17.9,190
Adelie,19.2,197
Adelie,18.5,193
Adelie,18.5,199
Adelie,17.6,187
Adelie,17.5,190
Adelie,17.5,191
Adelie,20.1,200
Adelie,16.5,185
Adelie,17.9,193
Adelie,17.1,193
Adelie,17.2,187
Adelie,15.5,188
Adelie,17,190
Adelie,16.8,192
Adelie,18.7,185
Adelie,18.6,190
Adelie,18.4,184
Adelie,17.8,195
Adelie,18.1,193
Adelie,17.1,187
Adelie,18.5,201
Gentoo,13.2,211
Gentoo,16.3,230
Gentoo,14.1,210
Gentoo,15.2,218
Gentoo,14.5,215
Gentoo,13.5,210
Gentoo,14.6,211
Gentoo,15.3,219
Gentoo,13.4,209
Gentoo,15.4,215
Gentoo,13.7,214
Gentoo,16.1,216
Gentoo,13.7,214
Gentoo,14.6,213
Gentoo,14.6,210
Gentoo,15.7,217
Gentoo,13.5,210
Gentoo,15.2,221
Gentoo,14.5,209
Gentoo,15.1,222
Gentoo,14.3,218
Gentoo,14.5,215
Gentoo,14.5,213
Gentoo,15.8,215
Gentoo,13.1,215
Gentoo,15.1,215
Gentoo,14.3,216
Gentoo,15,215
Gentoo,14.3,210
Gentoo,15.3,220
Gentoo,15.3,222
Gentoo,14.2,209
Gentoo,14.5,207
Gentoo,17,230
Gentoo,14.8,220
Gentoo,16.3,220
Gentoo,13.7,213
Gentoo,17.3,219
Gentoo,13.6,208
Gentoo,15.7,208
Gentoo,13.7,208
Gentoo,16,225
Gentoo,13.7,210
Gentoo,15,216
Gentoo,15.9,222
Gentoo,13.9,217
Gentoo,13.9,210
Gentoo,15.9,225
Gentoo,13.3,213
Gentoo,15.8,215
Gentoo,14.2,210
Gentoo,14.1,220
Gentoo,14.4,210
Gentoo,15,225
Gentoo,14.4,217
Gentoo,15.4,220
Gentoo,13.9,208
Gentoo,15,220
Gentoo,14.5,208
Gentoo,15.3,224
Gentoo,13.8,208
Gentoo,14.9,221
Gentoo,13.9,214
Gentoo,15.7,231
Gentoo,14.2,219
Gentoo,16.8,230
Gentoo,14.4,214
Gentoo,16.2,229
Gentoo,14.2,220
Gentoo,15,223
Gentoo,15,216
Gentoo,15.6,221
Gentoo,15.6,221
Gentoo,14.8,217
Gentoo,15,216
Gentoo,16,230
Gentoo,14.2,209
Gentoo,16.3,220
Gentoo,13.8,215
Gentoo,16.4,223
Gentoo,14.5,212
Gentoo,15.6,221
Gentoo,14.6,212
Gentoo,15.9,224
Gentoo,13.8,212
Gentoo,17.3,228
Gentoo,14.4,218
Gentoo,14.2,218
Gentoo,14,212
Gentoo,17,230
Gentoo,15,218
Gentoo,17.1,228
Gentoo,14.5,212
Gentoo,16.1,224
Gentoo,14.7,214
Gentoo,15.7,226
Gentoo,15.8,216
Gentoo,14.6,222
Gentoo,14.4,203
Gentoo,16.5,225
Gentoo,15,219
Gentoo,17,228
Gentoo,15.5,215
Gentoo,15,228
Gentoo,13.8,216
Gentoo,16.1,215
Gentoo,14.7,210
Gentoo,15.8,219
Gentoo,14,208
Gentoo,15.1,209
Gentoo,15.2,216
Gentoo,15.9,229
Gentoo,15.2,213
Gentoo,16.3,230
Gentoo,14.1,217
Gentoo,16,230
Gentoo,15.7,217
Gentoo,16.2,222
Gentoo,13.7,214
Gentoo,14.3,215
Gentoo,15.7,222
Gentoo,14.8,212
Gentoo,16.1,213
Chinstrap,17.9,192
Chinstrap,19.5,196
Chinstrap,19.2,193
Chinstrap,18.7,188
Chinstrap,19.8,197
Chinstrap,17.8,198
Chinstrap,18.2,178
Chinstrap,18.2,197
Chinstrap,18.9,195
Chinstrap,19.9,198
Chinstrap,17.8,193
Chinstrap,20.3,194
Chinstrap,17.3,185
Chinstrap,18.1,201
Chinstrap,17.1,190
Chinstrap,19.6,201
Chinstrap,20,197
Chinstrap,17.8,181
Chinstrap,18.6,190
Chinstrap,18.2,195
Chinstrap,17.3,181
Chinstrap,17.5,191
Chinstrap,16.6,187
Chinstrap,19.4,193
Chinstrap,17.9,195
Chinstrap,19,197
Chinstrap,18.4,200
Chinstrap,19,200
Chinstrap,17.8,191
Chinstrap,20,205
Chinstrap,16.6,187
Chinstrap,20.8,201
Chinstrap,16.7,187
Chinstrap,18.8,203
Chinstrap,18.6,195
Chinstrap,16.8,199
Chinstrap,18.3,195
Chinstrap,20.7,210
Chinstrap,16.6,192
Chinstrap,19.9,205
Chinstrap,19.5,210
Chinstrap,17.5,187
Chinstrap,19.1,196
Chinstrap,17,196
Chinstrap,17.9,196
Chinstrap,18.5,201
Chinstrap,17.9,190
Chinstrap,19.6,212
Chinstrap,18.7,187
Chinstrap,17.3,198
Chinstrap,16.4,199
Chinstrap,19,201
Chinstrap,17.3,193
Chinstrap,19.7,203
Chinstrap,17.3,187
Chinstrap,18.8,197
Chinstrap,16.6,191
Chinstrap,19.9,203
Chinstrap,18.8,202
Chinstrap,19.4,194
Chinstrap,19.5,206
Chinstrap,16.5,189
Chinstrap,17,195
Chinstrap,19.8,207
Chinstrap,18.1,202
Chinstrap,18.2,193
Chinstrap,19,210
Chinstrap,18.7,198
